"";"data.classe";"data.classe.n"
"2878";"Veneer";18
"2879";"Veneer";18
"2880";NA;NA
"2881";NA;NA
"2882";NA;NA
"2883";NA;NA
"2884";"Veneer";18
"2885";"Veneer";18
"2886";NA;NA
"2887";NA;NA
"2888";NA;NA
"2889";"Veneer";18
"2890";NA;NA
"2891";NA;NA
"2892";NA;NA
"2893";"Veneer";18
"2894";"IV";11
"2895";"Veneer";18
"2896";NA;NA
"2897";NA;NA
"2898";NA;NA
"2899";"III";9
"2900";"Veneer";18
"2901";"IV";11
"2902";"Veneer";18
"2903";"I";6
"2904";"Veneer";18
"2905";NA;NA
"2906";"IV";11
"2907";"Veneer";18
"2908";"I";6
"2909";"II";8
"2910";"II";8
"2911";"II";8
"2912";"Reconstituição";14
"2913";"II";8
"2914";"II";8
"2915";NA;NA
"2916";"II";8
"2917";"II";8
"2918";"II";8
"2919";"II";8
"2920";"II";8
"2921";"II";8
"2922";"II";8
"2923";NA;NA
"2924";NA;NA
"2925";"V";16
"2926";"IV";11
"2927";"V";16
"2928";"III";9
"2929";"III";9
"2930";"Veneer";18
"2931";NA;NA
"2932";NA;NA
"2933";"I";6
"2934";"V";16
"2935";"V";16
"2936";"II";8
"2937";"Veneer";18
"2938";NA;NA
"2939";"Veneer";18
"2940";"Veneer";18
"2941";"Veneer";18
"2942";NA;NA
"2943";NA;NA
"2944";NA;NA
"2945";NA;NA
"2946";"V";16
"2947";"Veneer";18
"2948";NA;NA
"2949";NA;NA
"2950";NA;NA
"2951";NA;NA
"2952";NA;NA
"2953";NA;NA
"2954";NA;NA
"2955";"Veneer";18
"2956";NA;NA
"2957";NA;NA
"2958";"Veneer";18
"2959";NA;NA
"2960";"V";16
"2961";"III";9
"2962";"III";9
"2963";"II";8
"2964";"II";8
"2965";"II";8
"2966";"I";6
"2967";"I";6
"2968";"I";6
"2969";"I";6
"2970";"II";8
"2971";NA;NA
"2972";NA;NA
"2973";NA;NA
"2974";NA;NA
"2975";NA;NA
"2976";NA;NA
"2977";NA;NA
"2978";NA;NA
"2979";NA;NA
"2980";NA;NA
"2981";NA;NA
"2982";NA;NA
"2983";NA;NA
"2984";NA;NA
"2985";NA;NA
"2986";NA;NA
"2987";NA;NA
"2988";NA;NA
"2989";NA;NA
"2990";NA;NA
"2991";NA;NA
"2992";NA;NA
"2993";NA;NA
"2994";NA;NA
"2995";"Reconstituição";14
"2996";"II";8
"2997";"II";8
"2998";"I";6
"2999";"II";8
"3000";"Veneer";18
"3001";"Veneer";18
"3002";"III";9
"3003";"Veneer";18
"3004";"II";8
"3005";"Coroa pura";3
"3006";"Veneer";18
