"";"data.classe";"data.classe.n"
"1040";"II";8
"1041";"I";6
"1042";"II";8
"1043";"I";6
"1044";"II";8
"1045";"II";8
"1046";"II";8
"1047";"Veneer";18
"1048";NA;NA
"1049";NA;NA
"1050";"Veneer";18
"1051";NA;NA
"1052";"II";8
"1053";"II";8
"1054";"II";8
"1055";"II";8
"1056";NA;NA
"1057";"I";6
"1058";"II";8
"1059";"II";8
"1060";"I";6
"1061";"II";8
"1062";"II";8
"1063";"I";6
"1064";"I";6
"1065";"II";8
"1066";"II";8
"1067";"II";8
"1068";"I";6
"1069";"III";9
"1070";"Reconstituição";14
"1071";NA;NA
"1072";"Reconstituição";14
"1073";"II";8
"1074";"II";8
"1075";"II";8
"1076";"II";8
"1077";"II";8
"1078";"II";8
"1079";"II";8
"1080";"II";8
"1081";"II";8
"1082";"II";8
"1083";"II";8
"1084";"II";8
"1085";"II";8
"1086";"Veneer";18
"1087";"Veneer";18
"1088";"Veneer";18
"1089";"Veneer";18
"1090";"Veneer";18
"1091";"Veneer";18
"1092";"II";8
"1093";"III";9
"1094";"Veneer";18
"1095";"Veneer";18
"1096";"Veneer";18
"1097";"Veneer";18
"1098";"Veneer";18
"1099";"Veneer";18
"1100";"Veneer";18
"1101";"Reconstituição";14
"1102";"II";8
"1103";"II";8
"1104";"II";8
"1105";"II";8
"1106";"II";8
"1107";NA;NA
"1108";NA;NA
"1109";"Reconstituição";14
"1110";"II";8
"1111";"I";6
"1112";NA;NA
"1113";"II";8
"1114";"II";8
"1115";"II";8
"1116";"Veneer";18
"1117";"IV";11
"1118";NA;NA
"1119";NA;NA
"1120";NA;NA
"1121";NA;NA
"1122";"II";8
"1123";"V";16
"1124";"III";9
"1125";NA;NA
"1126";"Veneer";18
"1127";NA;NA
"1128";NA;NA
"1129";NA;NA
"1130";"III";9
"1131";NA;NA
"1132";"Reconstituição";14
"1133";"II";8
"1134";"II";8
"1135";"V";16
"1136";"I";6
"1137";"V";16
"1138";"V";16
"1139";"I";6
"1140";"II";8
"1141";"III";9
"1142";"II";8
"1143";"III";9
"1144";"III";9
"1145";"Reconstituição";14
"1146";"II";8
"1147";"I";6
"1148";"II";8
"1149";"Veneer+Ribbond";19
"1150";NA;NA
"1151";NA;NA
"1152";NA;NA
